2026-07-22 02:05:56,325 | INFO | rlopt.IPMD | iter=7867/33909 | frames=1160036352/5000085504 | r_step=0.0623 | ep_len=391.7300 | r_ep=24.2254 | pi_loss=-0.0077 | fps=91494.6308
2026-07-22 02:07:46,856 | INFO | rlopt.IPMD | iter=7935/33909 | frames=1170063360/5000085504 | r_step=0.0620 | ep_len=407.0900 | r_ep=25.3664 | pi_loss=-0.0081 | fps=90816.1731
2026-07-22 02:09:37,949 | INFO | rlopt.IPMD | iter=8003/33909 | frames=1180090368/5000085504 | r_step=0.0621 | ep_len=414.9700 | r_ep=25.7911 | pi_loss=-0.0074 | fps=90037.4339
2026-07-22 02:11:36,108 | INFO | rlopt.IPMD | iter=8071/33909 | frames=1190117376/5000085504 | r_step=0.0619 | ep_len=396.6800 | r_ep=24.3115 | pi_loss=-0.0074 | fps=86072.7419
2026-07-22 02:13:33,134 | INFO | rlopt.IPMD | iter=8139/33909 | frames=1200144384/5000085504 | r_step=0.0623 | ep_len=395.3300 | r_ep=24.1675 | pi_loss=-0.0072 | fps=85737.9750
2026-07-22 02:15:28,256 | INFO | rlopt.IPMD | iter=8206/33909 | frames=1210023936/5000085504 | r_step=0.0621 | ep_len=389.3000 | r_ep=24.0127 | pi_loss=-0.0079 | fps=85865.4702
2026-07-22 02:17:24,537 | INFO | rlopt.IPMD | iter=8274/33909 | frames=1220050944/5000085504 | r_step=0.0621 | ep_len=420.3300 | r_ep=25.9115 | pi_loss=-0.0079 | fps=87228.1499
2026-07-22 02:19:20,991 | INFO | rlopt.IPMD | iter=8342/33909 | frames=1230077952/5000085504 | r_step=0.0623 | ep_len=398.5000 | r_ep=25.1883 | pi_loss=-0.0077 | fps=85968.0482
2026-07-22 02:21:18,076 | INFO | rlopt.IPMD | iter=8410/33909 | frames=1240104960/5000085504 | r_step=0.0626 | ep_len=418.5400 | r_ep=26.2105 | pi_loss=-0.0071 | fps=85592.1858
2026-07-22 02:23:16,127 | INFO | rlopt.IPMD | iter=8478/33909 | frames=1250131968/5000085504 | r_step=0.0627 | ep_len=403.4100 | r_ep=25.4041 | pi_loss=-0.0079 | fps=86185.2413
2026-07-22 02:25:10,904 | INFO | rlopt.IPMD | iter=8545/33909 | frames=1260011520/5000085504 | r_step=0.0627 | ep_len=399.5700 | r_ep=24.4040 | pi_loss=-0.0068 | fps=86236.0515
2026-07-22 02:27:07,105 | INFO | rlopt.IPMD | iter=8613/33909 | frames=1270038528/5000085504 | r_step=0.0625 | ep_len=400.5300 | r_ep=24.8965 | pi_loss=-0.0082 | fps=86499.6143
2026-07-22 02:29:03,611 | INFO | rlopt.IPMD | iter=8681/33909 | frames=1280065536/5000085504 | r_step=0.0625 | ep_len=400.3700 | r_ep=24.7455 | pi_loss=-0.0079 | fps=86068.5705
2026-07-22 02:31:00,254 | INFO | rlopt.IPMD | iter=8749/33909 | frames=1290092544/5000085504 | r_step=0.0627 | ep_len=388.0700 | r_ep=23.8608 | pi_loss=-0.0082 | fps=86093.6337
