2026-07-22 22:35:44,095 | INFO | rlopt.IPMD | iter=5036/23071 | frames=990117888/4535943168 | r_step=0.0577 | ep_len=318.1000 | r_ep=18.3862 | pi_loss=-0.0075 | fps=96128.2944
2026-07-22 22:37:28,883 | INFO | rlopt.IPMD | iter=5087/23071 | frames=1000144896/4535943168 | r_step=0.0578 | ep_len=356.3600 | r_ep=20.7736 | pi_loss=-0.0080 | fps=96600.4123
2026-07-22 22:39:13,346 | INFO | rlopt.IPMD | iter=5138/23071 | frames=1010171904/4535943168 | r_step=0.0579 | ep_len=317.1300 | r_ep=18.4294 | pi_loss=-0.0078 | fps=95606.0831
2026-07-22 22:40:55,818 | INFO | rlopt.IPMD | iter=5188/23071 | frames=1020002304/4535943168 | r_step=0.0578 | ep_len=313.2100 | r_ep=18.2317 | pi_loss=-0.0079 | fps=96272.9508
2026-07-22 22:42:40,268 | INFO | rlopt.IPMD | iter=5239/23071 | frames=1030029312/4535943168 | r_step=0.0581 | ep_len=314.7900 | r_ep=18.3072 | pi_loss=-0.0080 | fps=96761.7129
2026-07-22 22:44:24,205 | INFO | rlopt.IPMD | iter=5290/23071 | frames=1040056320/4535943168 | r_step=0.0578 | ep_len=327.2300 | r_ep=19.2474 | pi_loss=-0.0082 | fps=96334.2133
2026-07-22 22:46:09,121 | INFO | rlopt.IPMD | iter=5341/23071 | frames=1050083328/4535943168 | r_step=0.0578 | ep_len=315.7400 | r_ep=18.1062 | pi_loss=-0.0082 | fps=95631.7806
2026-07-22 22:47:53,785 | INFO | rlopt.IPMD | iter=5392/23071 | frames=1060110336/4535943168 | r_step=0.0581 | ep_len=315.3400 | r_ep=18.1514 | pi_loss=-0.0078 | fps=96211.1347
2026-07-22 22:49:39,104 | INFO | rlopt.IPMD | iter=5443/23071 | frames=1070137344/4535943168 | r_step=0.0582 | ep_len=317.1000 | r_ep=18.3495 | pi_loss=-0.0077 | fps=96800.5398
2026-07-22 22:51:23,548 | INFO | rlopt.IPMD | iter=5494/23071 | frames=1080164352/4535943168 | r_step=0.0583 | ep_len=308.2500 | r_ep=18.1795 | pi_loss=-0.0081 | fps=95627.0885
2026-07-22 22:53:08,038 | INFO | rlopt.IPMD | iter=5545/23071 | frames=1090191360/4535943168 | r_step=0.0577 | ep_len=303.9100 | r_ep=17.7345 | pi_loss=-0.0076 | fps=96068.5289
2026-07-22 22:54:49,921 | INFO | rlopt.IPMD | iter=5595/23071 | frames=1100021760/4535943168 | r_step=0.0578 | ep_len=312.4900 | r_ep=18.3098 | pi_loss=-0.0076 | fps=95542.8113
2026-07-22 22:56:34,006 | INFO | rlopt.IPMD | iter=5646/23071 | frames=1110048768/4535943168 | r_step=0.0579 | ep_len=307.5200 | r_ep=17.9964 | pi_loss=-0.0080 | fps=96104.6292
2026-07-22 22:58:18,580 | INFO | rlopt.IPMD | iter=5697/23071 | frames=1120075776/4535943168 | r_step=0.0582 | ep_len=304.4400 | r_ep=17.2625 | pi_loss=-0.0082 | fps=96710.8502
2026-07-22 23:00:03,236 | INFO | rlopt.IPMD | iter=5748/23071 | frames=1130102784/4535943168 | r_step=0.0580 | ep_len=315.8400 | r_ep=18.2381 | pi_loss=-0.0072 | fps=96199.6323
2026-07-22 23:01:49,231 | INFO | rlopt.IPMD | iter=5799/23071 | frames=1140129792/4535943168 | r_step=0.0584 | ep_len=302.9600 | r_ep=17.5540 | pi_loss=-0.0087 | fps=96236.1947
2026-07-22 23:03:33,444 | INFO | rlopt.IPMD | iter=5850/23071 | frames=1150156800/4535943168 | r_step=0.0582 | ep_len=322.6700 | r_ep=19.0572 | pi_loss=-0.0080 | fps=96092.0462
2026-07-22 23:05:17,891 | INFO | rlopt.IPMD | iter=5901/23071 | frames=1160183808/4535943168 | r_step=0.0585 | ep_len=325.5700 | r_ep=18.6219 | pi_loss=-0.0073 | fps=95907.6297
2026-07-22 23:07:00,218 | INFO | rlopt.IPMD | iter=5951/23071 | frames=1170014208/4535943168 | r_step=0.0585 | ep_len=316.8700 | r_ep=18.5594 | pi_loss=-0.0086 | fps=96966.4031
2026-07-22 23:08:44,438 | INFO | rlopt.IPMD | iter=6002/23071 | frames=1180041216/4535943168 | r_step=0.0583 | ep_len=315.9800 | r_ep=18.0585 | pi_loss=-0.0083 | fps=96283.4797
