2026-07-22 00:48:54,750 | INFO | rlopt.IPMD | iter=4883/33909 | frames=720027648/5000085504 | r_step=0.0592 | ep_len=333.0500 | r_ep=19.3538 | pi_loss=-0.0071 | fps=91833.4507
2026-07-22 00:50:44,259 | INFO | rlopt.IPMD | iter=4951/33909 | frames=730054656/5000085504 | r_step=0.0590 | ep_len=316.4100 | r_ep=18.4248 | pi_loss=-0.0067 | fps=91576.4447
2026-07-22 00:52:33,914 | INFO | rlopt.IPMD | iter=5019/33909 | frames=740081664/5000085504 | r_step=0.0591 | ep_len=291.9500 | r_ep=17.3091 | pi_loss=-0.0067 | fps=91735.0478
2026-07-22 00:54:23,010 | INFO | rlopt.IPMD | iter=5087/33909 | frames=750108672/5000085504 | r_step=0.0593 | ep_len=294.4700 | r_ep=17.2940 | pi_loss=-0.0071 | fps=91453.4567
2026-07-22 00:56:12,661 | INFO | rlopt.IPMD | iter=5155/33909 | frames=760135680/5000085504 | r_step=0.0594 | ep_len=292.8300 | r_ep=17.3674 | pi_loss=-0.0063 | fps=92082.7278
2026-07-22 00:58:00,717 | INFO | rlopt.IPMD | iter=5222/33909 | frames=770015232/5000085504 | r_step=0.0593 | ep_len=307.7000 | r_ep=18.3168 | pi_loss=-0.0070 | fps=91169.2963
2026-07-22 00:59:52,385 | INFO | rlopt.IPMD | iter=5290/33909 | frames=780042240/5000085504 | r_step=0.0592 | ep_len=287.3000 | r_ep=17.3085 | pi_loss=-0.0065 | fps=91262.5286
2026-07-22 01:01:42,598 | INFO | rlopt.IPMD | iter=5358/33909 | frames=790069248/5000085504 | r_step=0.0594 | ep_len=308.8300 | r_ep=18.3300 | pi_loss=-0.0058 | fps=90905.9211
2026-07-22 01:03:33,333 | INFO | rlopt.IPMD | iter=5426/33909 | frames=800096256/5000085504 | r_step=0.0597 | ep_len=327.5000 | r_ep=19.6064 | pi_loss=-0.0063 | fps=91035.1604
2026-07-22 01:05:23,887 | INFO | rlopt.IPMD | iter=5494/33909 | frames=810123264/5000085504 | r_step=0.0597 | ep_len=334.5600 | r_ep=20.3279 | pi_loss=-0.0069 | fps=90707.5527
2026-07-22 01:07:12,824 | INFO | rlopt.IPMD | iter=5561/33909 | frames=820002816/5000085504 | r_step=0.0599 | ep_len=327.7400 | r_ep=19.7971 | pi_loss=-0.0066 | fps=90753.0988
2026-07-22 01:09:03,235 | INFO | rlopt.IPMD | iter=5629/33909 | frames=830029824/5000085504 | r_step=0.0601 | ep_len=302.5200 | r_ep=18.2901 | pi_loss=-0.0066 | fps=90768.5393
2026-07-22 01:10:53,458 | INFO | rlopt.IPMD | iter=5697/33909 | frames=840056832/5000085504 | r_step=0.0603 | ep_len=345.1100 | r_ep=20.6131 | pi_loss=-0.0067 | fps=90897.3504
2026-07-22 01:12:45,261 | INFO | rlopt.IPMD | iter=5765/33909 | frames=850083840/5000085504 | r_step=0.0598 | ep_len=323.9100 | r_ep=19.8451 | pi_loss=-0.0065 | fps=90974.3749
2026-07-22 01:14:34,949 | INFO | rlopt.IPMD | iter=5833/33909 | frames=860110848/5000085504 | r_step=0.0603 | ep_len=332.8600 | r_ep=20.1517 | pi_loss=-0.0068 | fps=91523.9291
2026-07-22 01:16:24,490 | INFO | rlopt.IPMD | iter=5901/33909 | frames=870137856/5000085504 | r_step=0.0602 | ep_len=305.7600 | r_ep=18.2918 | pi_loss=-0.0062 | fps=91378.5284
2026-07-22 01:18:13,967 | INFO | rlopt.IPMD | iter=5968/33909 | frames=880017408/5000085504 | r_step=0.0604 | ep_len=350.2900 | r_ep=21.3681 | pi_loss=-0.0063 | fps=88436.3552
